CORPORATE_IDENTIFICATION_NUMBER,Company_Name,Company_status,Company_class,Company_Category,Company_sub_category,DATE_OF_REGISTRATION,REGISTERED_STATE,AUTHORIZED_CAP,PAIDUP_CAPITAL,Industrial_Class,PRINCIPAL_BUSINESS_ACTIVITY_AS_PER_CIN,Registered_Office_Address,REGISTRAR_OF_COMPANIES,EMAIL_ADDR,Latest_Year_AR,Latest_Year_BS
U18100HP2016OPC006333,CHOPRA CLOTHING (OPC) PRIVATE LIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,31-08-16,Himachal Pradesh,100000,100000,18100,Manufacture of wearing apparel; dressing and dyeing of fur,"HOUSE NO. 649, NEAR SILVER BELLS SCHOOL, WARD NO-1HIRA NAGAR, HAMIRPUR (TEHSIL) HAMIRPUR , Una Unclassified HP 177001",RoC-Himachal Pradesh,sarthakchopra09312@gmail.com,31-03-19,31-03-19
U18101HP1975PTC003560,HIMACHAL TEXTILE AND FABRICATING CO PVTLTD,Strike Off,Private,Company limited by Shares,Non-govt company,17-05-75,Himachal Pradesh,200000,30000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"KISHORE HOUSE SHIMLA HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U18101HP1985PTC006507,SHIWALIK KNIT POLYFABS PVT LTD,Active,Private,Company limited by Shares,Non-govt company,30-10-85,Himachal Pradesh,2500000,2339000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"123,Industrial Area MEHATPUR , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U18101HP1992PTC012361,HEAVEN HOSIERY PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,05-06-92,Himachal Pradesh,500000,10000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"HP HP HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U18101HP1994PTC014487,VAISHNO ENTERPRISES PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,25-04-94,Himachal Pradesh,1000000,20000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"33 2 ARYA NAGAROPP HRTC WORKSHOP UNA H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U18101HP1995PLC016645,GLOBAL FASHION EXPORTS LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,21-06-95,Himachal Pradesh,100000000,700,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"ARYAN ASSOCIATESTHE MALL SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,mk_dattachd@yahoo.com,NA,NA
U18101HP1995PLC017208,HIMACHAL KNIT EXPORTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,27-10-95,Himachal Pradesh,500000,500000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"25(1), Village Salyal P.O.Karour, Tehsil Nadaun Hamirpur , Unclassified HP 177038",RoC-Himachal Pradesh,secretarial.hkel@gmail.com,31-03-20,31-03-20
U18101HP1995PTC015640,SAPPHIRE SOFTWARES INDIA PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,16-01-95,Himachal Pradesh,500000,2000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"MAIN GATENALAGARH DISTT SOLAN , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U18101HP1995PTC017208,HIMACHAL KNIT EXPORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,27-10-95,Himachal Pradesh,500000,500000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"25(1), Village Salyal P.O.Karour, Tehsil Nadaun Hamirpur , Unclassified HP 177038",RoC-Himachal Pradesh,secretarial.hkel@gmail.com,31-03-20,31-03-20
U18101HP1998PTC021967,SAROJ GARMENTS MANUFACTURING PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,23-11-98,Himachal Pradesh,1000000,200000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"VPO BIJARISUB TEH BIJARI DISTT HAMIRPUR HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U18101HP2000PTC024054,MAITREYA COLLECTIONS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,13-11-00,Himachal Pradesh,1000000,100000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"VPO MANALIDISTT KULLU HIMACHAL PRADESH , Unclassified HP 175131",RoC-Himachal Pradesh,hsthakurca2008@gmail.com,31-03-15,31-03-14
U18101HP2003PTC026161,SHIANA IMPEX PRIVATE LIMITED,Converted to LLP,Private,Company limited by Shares,Non-govt company,03-07-03,Himachal Pradesh,2500000,100000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"PLOT NO 55 INDUSTRIAL PARKJHAR MAZRI BADDI SOLAN HIMACHAL PRADESH , Unclassified HP 000000",Unclassified,smilax@smilaxgroup.net,31-03-17,31-03-17
U18101HP2005PTC000111,TOPTRACK GARMENTS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,18-03-05,Himachal Pradesh,6500000,100000,18101,Manufacture of wearing apparel; dressing and dyeing of fur,"1, ELECTRONICS COMPLEX CHAMBA GHAT SOLAN , Solan Unclassified HP 173213",RoC-Himachal Pradesh,vsaindia2011@gmail.com,31-03-13,31-03-13
U18109HP2016PTC006209,DESIGN LYFE PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-04-16,Himachal Pradesh,1000000,1000000,18109,Manufacture of wearing apparel; dressing and dyeing of fur,"FIRST FLOOR, PUNJAB NATIONAL BANK, JAHU TEHSIL BHORANJ HAMIRPUR , Hamirpur Unclassified HP 176048",RoC-Himachal Pradesh,designlyfe@outlook.com,NA,NA
U18109HP2020OPC008295,OLD HOGAN (OPC) PRIVATE LIMITED,Active,Private(One Person Company),Company limited by Shares,Non-govt company,31-12-20,Himachal Pradesh,100000,100000,18109,Manufacture of wearing apparel; dressing and dyeing of fur,"HOUSE NO 199 WARD NO 3 PRATAP NAGAR HAMIRPUR , Hamirpur Unclassified HP 177001",RoC-Himachal Pradesh,OLDHOGAN2020@GMAIL.COM,NA,NA
U18200HP1992PTC012493,AKSHAY WOOLLENS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,22-07-92,Himachal Pradesh,1500000,5000,18200,Manufacture of wearing apparel; dressing and dyeing of fur,"VPO KALRUHITEH KALA AMB DISTT UNA HIMACHAL PRDAESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U18202HP2003PTC026214,TARA MANDAL MINK PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,21-07-03,Himachal Pradesh,10500000,10500000,18202,Manufacture of wearing apparel; dressing and dyeing of fur,"PLOT NO.1, PHASE IV INDUSTRIAL AREA TAHLIWAL , Una Unclassified HP 174301",RoC-Himachal Pradesh,rajkrsharma1972@yahoo.com,31-03-20,31-03-20
U18202HP2014PTC000820,ELISE NOEL HOUSE OF STYLE PRIVATELIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,27-11-14,Himachal Pradesh,100000,100000,18202,Manufacture of wearing apparel; dressing and dyeing of fur,"VILL. TIKA GAMRU DHARAMSALA KANGRA , Kangra Unclassified HP 176215",RoC-Himachal Pradesh,care.kps@gmail.com,NA,NA
U18202HP2014PTC000834,HANS RAJ THAKUR AND SONS KNITTING WORKSPRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,24-12-14,Himachal Pradesh,100000,100000,18202,Manufacture of wearing apparel; dressing and dyeing of fur,"OM NIWAS RAJ MAHAL ROAD WARD NO-6 DALHOUSIE , Chamba Unclassified HP 176304",RoC-Himachal Pradesh,hansraj189@gmail.com,31-03-16,31-03-16
U18202HP2018PTC007067,ARCADE GALLERY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-06-18,Himachal Pradesh,100000,100000,18202,Manufacture of wearing apparel; dressing and dyeing of fur,"VPO ISPUR TEHSIL AMB UNA , Una Unclassified HP 177207",RoC-Himachal Pradesh,arvind51pathak@gmail.com,NA,NA
U18209HP2015PTC000879,GHANGRI GEMS & JEWELLERS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,23-02-15,Himachal Pradesh,2500000,2500000,18209,Manufacture of wearing apparel; dressing and dyeing of fur,"V.P.O. SIDHPUR, TEH- DHARMSHALA DISTT. KANGRA KANGRA , Kangra Unclassified HP 176057",RoC-Himachal Pradesh,chhonge@rediffmail.com,31-03-20,31-03-20
U19113HP1987PTC007352,HIMACHAL TANNERIES PVT LTD,Active,Private,Company limited by Shares,Non-govt company,13-03-87,Himachal Pradesh,1000000,20000,19113,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","Teh. Nalagarh DISTT SOLAN H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19115HP1995PTC015700,WINNER NIPPON LEATHERETTE PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,02-02-95,Himachal Pradesh,150000000,150000000,19115,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","83 INDUSTRIAL ESTATESFS BADDI DISTT SOLAN SOLAN , Unclassified HP 173205",RoC-Himachal Pradesh,ritu.singal95@gmail.com,31-03-20,31-03-19
U19116HP1995PTC015874,S N LEATHER CHEM PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,22-02-95,Himachal Pradesh,500000,30000,19116,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","VILL BIRTA P O GHURKARITEH & DISTT KANGRA H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19119HP1984PTC005871,RENUKA FOOTWERS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,22-06-84,Himachal Pradesh,1000000,901000,19119,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","TIRBOKPUR ROADKALA AMB DISTT SIRMUR HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19119HP1993PTC013405,HIM LEATHERS PVT.LTD.,Not Available for eFiling,Private,Company limited by Shares,Non-govt company,03-06-93,Himachal Pradesh,10000000,90000,19119,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","VILLAGE MANJOLI,TEH.NALAGARH,DISTT.SOLAN. , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19129HP1981PTC004539,HIMACHAL LEATHER BOARDS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,16-05-81,Himachal Pradesh,500000,10000,19129,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","87 INDUSTRIAL AREAPONTA SAHIB SIRMAUR HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19129HP1981PTC004540,HIMACHAL LEATHER FABRICATORS PVT LTD,Under Process of Striking off,Private,Company limited by Shares,Non-govt company,16-05-81,Himachal Pradesh,300000,15000,19129,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","76 INDUSTRIAL AREAPONTA SAHIB SRIMAUR HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19129HP1981PTC004734,J K REXINE PVT LTD,Under Process of Striking off,Private,Company limited by Shares,Non-govt company,25-11-81,Himachal Pradesh,500000,15000,19129,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","2 B INDUSTRIAL AREAMEHATPUR DISTT UNA HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19129HP1988PTC008010,HIMMAT LEATHERS PRIVATE LIMITED,Under Process of Striking off,Private,Company limited by Shares,Non-govt company,19-02-88,Himachal Pradesh,1000000,2000,19129,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19129HP1993PTC013658,VINIT LEATHER PVT LTD,Active,Private,Company limited by Shares,Non-govt company,27-08-93,Himachal Pradesh,5000000,2000,19129,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","PLOT NO 119INDUSTRIAL AREA PHASE 1 BADDI HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19129HP2020PTC007814,PRATISHTHA INDUSTRIES PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,11-02-20,Himachal Pradesh,1000000,100000,19129,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","2233, Mansimble Maranda PALAMPUR , Kangra Unclassified HP 176083",RoC-Himachal Pradesh,pratishthaindustries@outlook.com,NA,NA
U19167HP1996PTC019167,RASHI RESORTS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,17-12-96,Himachal Pradesh,2500000,120000,19167,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","VILLAGE MIHANIP O CHAIL TEH KANDAGHAT DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,suneetwadhwa59@gmail.com,31-03-20,31-03-20
U19200HP2020PLC007949,CEDRUS BIO-PRODUCTS LIMITED,Active,Public,Company limited by Shares,Non-govt company,11-07-20,Himachal Pradesh,500000,100000,19200,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","M/S DRISH SHOES LIMITED, VILLAGE RAJPURA TEHSIL NALAGARH SOLAN , Solan Unclassified HP 174101",RoC-Himachal Pradesh,HARISH@DRISH.COM,NA,NA
U19201HP1986PTC007087,JAGAN SHOES PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,23-10-86,Himachal Pradesh,200000,300,19201,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","SOLAN DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19201HP1988PTC008549,MAHAAN RUBBERS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,13-07-88,Himachal Pradesh,1000000,2000,19201,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","SOLAN DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19201HP1992PTC012134,SANJAY RAKESH FOOTWEAR PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,25-03-92,Himachal Pradesh,1000000,2000,19201,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","HP HP HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19201HP1996PLC017993,SMITA LEATHERS LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,09-04-96,Himachal Pradesh,200000,700,19201,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","183 INDUSTRIAL AREABADDI DISTT SOLAN H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U19307HP1997PTC019307,NOBLE INFORMATIC TRAINING SYSTEM PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,16-01-97,Himachal Pradesh,100000,60000,19307,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear","DEV PAL CHOWKHAMIRPUR H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U20211HP1987PTC007658,QUALITY PLYWOOD CO PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,11-09-87,Himachal Pradesh,200000,0,20211,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","BADDI BAROTIWALA, HIMACHALPRADESH. , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U20211HP2002PTC025514,KUNJAN WOOD CRAFT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,17-10-02,Himachal Pradesh,500000,100000,20211,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","PLOT NO 1 PHASE IIIGONDPUR INDUSTRIAL AREA PAONTA SAHIB DISTT SIRMOUR , Sirmaur Unclassified HP 000000",RoC-Himachal Pradesh,kamalbhatia1979@rediffmail.com,31-03-09,31-03-09
U20212HP1986PTC006947,HIM FLUSH BOARD PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,25-07-86,Himachal Pradesh,1000000,2000,20212,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","HOTEL CORONATION ROOMNO 5 SHIMLA H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U20212HP1988PTC008129,ZAL PLYWOODS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,18-03-88,Himachal Pradesh,1200000,993000,20212,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Plot Opposite Block No 22 Sector 6 Parwanoo , Solan Unclassified HP 173220",RoC-Himachal Pradesh,zalplywoods@gmail.com,31-03-20,31-03-20
U20213HP1974PTC003473,NAVKETAN BOARDS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,16-08-74,Himachal Pradesh,500000,60000,20213,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","G T ROADDAMTAL SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U20213HP1989PTC009533,HIM PACS PRODUCTS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,19-07-89,Himachal Pradesh,1000000,30000,20213,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","TANK ROADOPP SR SEC SCHOOL SOLAN H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U20219HP1974PTC003495,HIMACHAL PLYWOODS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,24-09-74,Himachal Pradesh,6000000,3993030,20219,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","NO 1INDUSTRIAL AREA SHAMSHI KULLU HIMCHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,ap.gupta@baba.in,31-03-20,31-03-20
U20219HP1987PTC007375,MANKOO PLY BOARDS PVT LTD,Active,Private,Company limited by Shares,Non-govt company,25-03-87,Himachal Pradesh,200000,3000,20219,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","PLOT NO 65 INDUSTRIAL AREAPAONTA SAHIB DISTT SIRMOUR HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U20220HP2007PTC030788,SHANKAR AND SHARMA ENTERPRISES PRIVATELIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,04-10-07,Himachal Pradesh,1000000,100000,20220,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","VILL BHATWARI P O KOT KHAMRADHA SUB TEHSIL AUT DISTT MANDI MANDI , Unclassified HP 175021",RoC-Himachal Pradesh,ca_nareshmandi@yahoo.co.in,31-03-14,31-03-14
U20239HP1994PTC015040,HIMACHAL FURNITURES PVT.LTD.,Active,Private,Company limited by Shares,Non-govt company,07-09-94,Himachal Pradesh,1500000,1391000,20239,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","32 THE MALL.SOLAN SOLAN himachal pradesh , Unclassified HP 173212",RoC-Himachal Pradesh,anilsud@yahoo.com,31-03-20,31-03-20
U20290HP2010PTC031299,KRAFT HOUSEHOLD PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,11-02-10,Himachal Pradesh,500000,100000,20290,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","PLOT NO. 9 A SECTOR 2 PARWANOO , Solan Unclassified HP 173220",RoC-Himachal Pradesh,kanwalcs@gmail.com,NA,NA
U20299HP1987PTC007325,HIMACHAL VALLEY PRODUCTS PVT LTD,Active,Private,Company limited by Shares,Non-govt company,03-03-87,Himachal Pradesh,3000000,625000,20299,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials","Plot No. 9B Sector 3 Parwanoo , Solan Unclassified HP 173220",RoC-Himachal Pradesh,chdcs@virgoasia.com,31-03-20,31-03-20
U21000HP2007PTC030766,HIMALAYA KRAFT PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,03-08-07,Himachal Pradesh,15000000,9045000,21000,Manufacture of paper and paper products,"V.P.O.- BELA BATHRI TEH : HAROLI UNA , Unclassified HP 177220",RoC-Himachal Pradesh,hkplbathri@gmail.com,31-03-20,31-03-20
U21000HP2013PTC000331,STREAMS INDUSTRIES PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,31-01-13,Himachal Pradesh,500000,100000,21000,Manufacture of paper and paper products,"INDUSTRIAL AREA, BELA BATHRI KHASRA NO. 94, TEHSIL NAROLI UNA , Una Unclassified HP 174303",RoC-Himachal Pradesh,upasnababuta@hotmail.com,NA,NA
U21000HP2013PTC000422,SAI ARTI PAPER WORKS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,21-05-13,Himachal Pradesh,100000,100000,21000,Manufacture of paper and paper products,"VERMAR BUILDING, MAIN BAZAR SHOGHI, SHIMLA SHIMLA , Shimla Unclassified HP 171005",RoC-Himachal Pradesh,WEBTECHPLANET@GMAIL.COM,NA,NA
U21000HP2013PTC000458,S H K PACKERS PRIVATE LIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,03-07-13,Himachal Pradesh,100000,100000,21000,Manufacture of paper and paper products,"ground floor 28(1) jasur tehsil nurpur , Kangra Unclassified HP 176201",RoC-Himachal Pradesh,capankajmahajan@yahoo.co.in,NA,NA
U21000HP2015PTC000974,JAI ISHWARI CORRUGATION INDUSTRY PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,17-06-15,Himachal Pradesh,1000000,100000,21000,Manufacture of paper and paper products,"C/o Surinder Singh, Sondh Niwas Lakkar Bazar, Shimla Shimla , Shimla Unclassified HP 171001",RoC-Himachal Pradesh,devsharma32@yahoo.com,31-03-17,31-03-17
U21000HP2017PTC006623,HIMACHAL CORRUGATORS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,30-05-17,Himachal Pradesh,1000000,100000,21000,Manufacture of paper and paper products,"VILLAGE OGLI KALA AMB KALA AMB , Sirmaur Unclassified HP 173001",RoC-Himachal Pradesh,micromotionindia@gmail.com,31-03-20,31-03-20
U21000HP2020PTC007886,AASHA PACKWELL PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,26-05-20,Himachal Pradesh,1500000,1200000,21000,Manufacture of paper and paper products,"201, CHINAR A-1 CHAKKAN ROAD, OMAXE PARKWOOD BADDI , Solan Unclassified HP 173205",RoC-Himachal Pradesh,aashapackwell@gmail.com,NA,NA
U21000HP2020PTC008212,PADAM PRINT PACK INDUSTRIES PRIVATELIMITED,Active,Private,Company limited by Shares,Non-govt company,12-11-20,Himachal Pradesh,3000000,3000000,21000,Manufacture of paper and paper products,"SOLAN HP 1222 VILL DHAMWAL PO BAROTIWAL TEH BADDI SOLAN , Solan Unclassified HP 174103",RoC-Himachal Pradesh,jaipalsharma143god@gmail.com,NA,NA
U21010HP2004PLC026926,SAINSONS FIBRES LIMITED,Active,Public,Company limited by Shares,Non-govt company,16-03-04,Himachal Pradesh,2500000,500000,21010,Manufacture of paper and paper products,"VILLAGE GOLE JAMALATEH NALAGARH DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,sainiajays@gmail.com,31-03-20,31-03-20
U21010HP2004PTC027474,HIGHTECH PAPER PULP MOULDERS PRIVATELIMITED,Strike Off,Private,Company limited by Shares,Non-govt company,10-09-04,Himachal Pradesh,100000,100000,21010,Manufacture of paper and paper products,"# 56MIDDLE BAZAR SHIMLA HIMACHAL PARDESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U21010HP2005PTC028425,BADDI PRINT PACKS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,17-05-05,Himachal Pradesh,40000000,34980500,21010,Manufacture of paper and paper products,"Khasra No. 103 Lodhi Majara Road, Village Theda Post Manpura , Unclassified HP 174101",RoC-Himachal Pradesh,sundar@atozlabs.com,31-03-20,31-03-20
U21012HP1980PTC004156,KRAFT PAPER MILLS PRIVATE LIMITED,Active,Private,Company limited by Shares,Non-govt company,01-04-80,Himachal Pradesh,2000000,2000000,21012,Manufacture of paper and paper products,"3, Brahm Samaj SHIMLA HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U21012HP1980PTC004315,NALAGARH PAPERS AND BOARD MILLS PVT LTD,Active,Private,Company limited by Shares,Non-govt company,05-11-80,Himachal Pradesh,1500000,8000,21012,Manufacture of paper and paper products,"ROPAR NALAGARH ROADNALAGARH DISTT SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U21012HP1981PLC004590,MEHATPUR PAPER MILLS LIMITED,Strike Off,Public,Company limited by Shares,Non-govt company,25-06-81,Himachal Pradesh,2500000,500000,21012,Manufacture of paper and paper products,"PREM COTTAGESANJAULI SIMLA H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U21012HP1981PTC004377,KANWAR PAPERS PVT LTD,Under liquidation,Private,Company limited by Shares,Non-govt company,14-01-81,Himachal Pradesh,2500000,0,21012,Manufacture of paper and paper products,"TIRLOK PUR ROAD,KALA AMB, SIRMUR , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U21012hp1981ptc004463,ARADHNA PAPER PVT LTD,Under liquidation,Private,Company limited by Shares,Non-govt company,26-03-81,Himachal Pradesh,500000,0,21012,Manufacture of paper and paper products,"VILL. MUSEWAL,TEH. NALAGARH DISTT. SOLAN , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U21012HP1981PTC004537,NAVDURGA PAPER BOARD MILLS PVT LTD,Active,Private,Company limited by Shares,Non-govt company,15-05-81,Himachal Pradesh,2500000,174000,21012,Manufacture of paper and paper products,"INDUSTRIAL AREABAROTIWALA SOLAN HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U21012HP1981PTC004583,KORA KAGAZ PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,22-06-81,Himachal Pradesh,1000000,8000,21012,Manufacture of paper and paper products,"G T ROADDAMTAL NURPUR KANGRA HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U21012HP1981PTC004687,LILY PAPER AND PAPER BOARD PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,07-10-81,Himachal Pradesh,100000,10000,21012,Manufacture of paper and paper products,"AYODHYA NIWASSANJAULI SHIMLA H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U21012HP1982PTC005138,CREATIVE PRINTERS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,15-10-82,Himachal Pradesh,500000,25000,21012,Manufacture of paper and paper products,"KANGRA DISTT KANGRA H P , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
U21012HP1987PTC007747,NEERU PAPER AND ALLIED PRODUCTS PVT LTD,Strike Off,Private,Company limited by Shares,Non-govt company,19-10-87,Himachal Pradesh,300000,200,21012,Manufacture of paper and paper products,"419 NAM VIWASSHIVPURI DISTT SHIMALA HIMACHAL PRADESH , Unclassified HP 000000",RoC-Himachal Pradesh,NA,NA,NA
